玩家评价,是否推荐,游玩时长(小时),觉得有价值的人数,觉得好笑的人数
游戏其实还是很优秀的，但是一代的优秀音乐却没继承过来，真的很喜欢一代的配乐，可惜steam没有中评，其实不是很想打差评的，希望后续能更新,不推荐,16.9,0,0
EA阶段，非常不平衡，介意的慎入（尤其是猎人，菜的可怕，千万别玩，宝石也别玩，太拉跨了,推荐,21.8,0,0
"如果喜欢卡牌游戏 可以入手
和1代比起来内容更富丰富了一点 角色也更多
2代没有观者 但感觉上后续的更新应该会有",推荐,14.9,0,0
更多的新角色 新卡牌 新遗物 新药水 挺有意思的,推荐,44.1,0,0
"第一次玩 不錯,如果有選牌提示器就好了 新手不太懂 太多卡片不知道怎麼選有時候亂選就崩了",推荐,43.8,0,0
"不同牌的差距过大，神的超神鬼的超鬼
比如3费7覆甲这种幽默数值简直不是人能想出来的，而宝石1费3重放、猎手追踪无条件翻倍增伤、储君虚空形态每回合三张免费牌、亡灵吊杀指数加伤之类的牌强度又高的不像人类填出来的，数值平衡一坨
",推荐,42.6,0,0
"平衡很差(意料之中)
神区二相性非常明显, 等EA结束之后相信数值会更加合理",推荐,37.0,0,1
不好玩，玩了五个小时 ，除了第一把，别的连第一层的boss都看不到（玩不明白）玩着和一代差不多,推荐,8.0,0,0
"单人游戏体验感觉没有显著提升，给人感觉是1代dlc
别的倒还好，但是怎么还会闪退的😡",不推荐,5.6,0,0
不管是一代还是二代我永远是战废！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！战士到底怎么玩！,推荐,38.0,0,0
"整体优秀，两个问题反馈一下，希望能调整
1、在surface上用手触控、笔触控操作都有问题，制作组可以参考一下1的同样情况，和在手机上一样便利；
2、弃牌、烧牌什么的，就不要确认了，或者让玩家自己选要不要确认，1都不用确认，现在确认起来很影响游戏节奏；哪怕要确认也把确认按钮放选的牌下面，不要放到右下角",推荐,22.2,0,0
平衡和部分怪物的设计还待优化和调整，什么时候改的满意了什么时候给你卡牌肉鸽鼻祖的王座搬来给你坐一辈子,不推荐,34.6,0,0
"好玩爱玩，特别是联机模式有很多很爽的卡，真正做到了都有参与感。
以下是我的一点意见，前前后后可能打了有20-30把了：
1.金卡或者说稀有卡太多了，而且金卡一般是一个玩法的核心，比如说机器人的双生电，猎人的腐蚀波，而金卡的总数过高且大部分强度并不够，像是金遗传之流。
2.boss打完后下一幕的奖励方差太大，一代最次的奖励也有加费，这一代反而可能有三选项都不如一个普通遗物强的情况，这部分确实需要调整
3.事件设计不够合理，我理解应该有负面事件，但是正面事件有的时候也是强制塞牌，比如说获得消杀或者压扁的技艺，虽然说女王的存在注定了这一代打连胜不能靠极简卡组打2-3牌循环，但是过大的卡组必然会导致道中的体验感变差，尤其是前一作玩家
4.这一代火堆睡觉的占比大大增加，我不知道是否是刻意为之，确实有很多敲牌的先民遗物，可能就是这样设计的，但是没有拿到这种遗物的时候就会玩的很便秘，负反馈拉满
5.存在部分怪物例如第三关boss实验体，第一关的四虫精英在联机模式下难度指数倍增长，以及单人模式下的蜂群杀手，大史莱姆之流，对部分角色来说难度远高于其他角色，这部分我没法给出好的建议，只能集思广益。
以上，祝游戏越来越好",推荐,37.3,0,0
比一代增加了更多机制，还有剧情，尽管还是demo，仍然具有优秀的游戏性，期待正式版,推荐,9.6,0,0
虽然测试版数值没有那么平衡，但是丰富程度和可玩性相较一代均有提升,推荐,20.5,0,0
完美符合我对塔2的期待。玩法机制和整体内容都有了非常大的扩充。除了部分卡面美术风格有点拉跨，画面偏脏，线条比较乱，透视和明暗关系也是一坨大便，算是一个比较明显的小遗憾。除此之外整体表现都很优秀。后续数值平衡再调整好，就完全是肉鸽类游戏里的另一座大山。,推荐,30.1,0,0
"孩子，你们Steam库的大图是不是忘记放机煲了。
当然我并不是很在意，毕竟他一直是我第五讨厌的角色。",推荐,51.0,0,0
"跟一代相比可玩性提高了不少，就算是测试版完成度也很高了（除了一些神秘的儿童画cg）
塔2真是太好玩了口牙！！！",推荐,32.9,0,0
一代最想玩的是毒贼，但是一直玩的不爽，这一代毒贼不管是对群还是起防都数值高的夸张，爽爆了。另外，鸡煲怎么还在启动。,推荐,27.8,0,0
非常好的游戏，无论是平衡性还是可玩性都在一代的基础上大大提高了，非常推荐任何人去玩。（火堆手快全敲的特性能不能保留啊）,推荐,60.8,0,0
联机体验一坨，要么打到一半掉线找不到队友被迫重新开始，要么掉线重进黑屏打不开，数值也是脑子进屎了乱填,不推荐,36.2,0,0
2代卡组变得丰富了，还加了新角色，怪物种类也多了，开荒观感很不错，就是出牌有点卡顿感，不如一代流畅，这还是要好好优化，可玩性肯定是更强了，数值慢慢调整吧，总体上来说很不错。,推荐,4.7,0,0
"说点笑话
战士：牌烧完了我打什么
猎手：太刮痧了怎么办
储君：铸剑太慢了怎么办
傀儡师：灾厄叠太慢了怎么办
鸡煲：孩子们，我的新时代集中在哪里",推荐,34.4,0,1
角色的平衡还需要调整。低进阶明显较1代更爽，一些新打法特别好玩，但是高进阶又开始牢了,推荐,44.0,0,0
战士换玩法了，猎人起飞了，王座王朝了，鸡煲增强了，骷髅可爱捏,推荐,23.0,0,0
非常好玩，我已美死。虽然是ea版本，但是内容十分丰富。希望后续可以慢慢完善，增加更多有意思的职业，时间，卡牌什么的。,推荐,47.6,0,0
有一的玩家直接无脑入，现在还是ea阶段，后面还会涨价,推荐,11.3,0,0
"相比一代画面表现力大幅度提升，扫荡射线是真的帅噶人们，先古之民的觉醒卡面跟tcg的高罕卡面一样很有感觉
部分卡牌的数值需要调整
联机模式数值需要调整。暗港的四只鳗鱼多人模式下血又厚而且挨打一下就十几甚至二十多甲太夸张了",推荐,21.9,0,0
太棒了，我宣布这是世界上最好玩的肉鸽卡牌游戏。,推荐,14.3,0,0
"一如既往的上瘾，更加入了联机元素，可玩性又上升了。
唯一不满是我大机器人怎么最后才解锁，导致我没能在联机里用鸡煲帮助队友。
我在思考。
我在思考。
我在思考。",推荐,26.4,0,0
联机模式问题还是挺多的。直接把敌人血量翻倍太粗暴了，而且所有敌人的攻击都变成群体。应该参考一下杀戮尖塔自己的桌游，变成双排敌人，攻击只攻击自己本排的玩家，但是玩家可以选择攻击的敌人。而且怪物数量不增加，导致联机模式给敌人上debuff收益远高于给自己➕buff，最尊重易伤的一集,推荐,23.4,0,0
  暂时没有心脏，战士鸽王从天降愤怒狰狞。当地狱狂徒手持剑柄开始劫掠，三头狗只能面对1×300的意图束手无策；痛殴左手伤害高，右手高伤害；至亮之焰焚尽一切。你也快来试试吧   /ᐠ - ˕ -マ Ⳋ  /ᐠ - ˕ -マ Ⳋ,推荐,36.0,0,0
附魔，还能用别的职业卡，游戏性太爆炸了，每一局的体验都不一样，让我想起了大巴扎，但还是塔爽多了,推荐,29.3,0,0
数值膨胀完了，怪的攻击频率还特别高，一层精英每回合打25，一代有个乐加维林都不得了了，这是谁的部将，乐嘉放在二代只有个小怪的水平，除了战士我不知道还有谁能跟怪物比成长，用脚填的数值吗,不推荐,10.5,0,0
平衡还需进一步修订，其他都很不错,推荐,18.9,0,0
联机还是比较欢乐的，但是开荒初期感觉难度还是有的,推荐,33.7,0,0
"总体来说，等的非常值得

2代相比1代增加了很多新元素，牌组可玩性更高
强度很高，难度比1大

偶尔会有闪退，但有自动保存",推荐,55.2,0,0
相较于整体数值低、吃操作吃经验、打法趋近固定的一代，二代数值骤增，玩法相当多样，肉鸽性更强。可能苦苦挣扎一路满手破烂遗物卡组不敌拦路精英，也可能左脚踩右脚原地升天拆开赢三把。此外，不仅在美工上进行优化，故事线和背景设定也趋于完善，官方自带的联机更是锦上添花。美中不足的是部分卡牌和怪物数值过于逆天有待调整。我的评价是夯爆了我必须立刻启动,推荐,43.3,0,0
比一代上手难度低了很多，而且新角色机制都很有趣，联机模式也是一个亮点，只是还不稳定，期待后续优化,推荐,24.4,0,0
"一直被模仿，从未被超越，能和塔一比肩的也就只有塔二了。
联机太棒了，和朋友打牌爽飞了。
事件和怪物也更丰富有趣了，也有钱做精美的动画了。
我真是TMD爱死打牌了",推荐,32.6,0,0
联机比单人好玩一百万倍，事实证明只要联机系统设计的好，哪怕是打牌类肉鸽的联机都能如此优秀，希望其他一些厂商在联机上面好好学习，不要用脚趾头交付联机系统，请你们好自为之，不要不识好歹满脑子都是大便。,推荐,42.4,0,0
玩美了 四人联机太欢乐了 打击感也很爽 不过有些卡数值还是需要调整下 期待后续更新,推荐,55.7,0,0
玩法比第一部优化了很多，但是角色的平衡还需要调整,推荐,31.5,0,0
没有什么问题是玩一把鸡煲解决不了的，如果不行，那就下一把！,推荐,29.1,0,0
"省流：游玩7小时感悟，比1代在很多方面精致了，玩法区别不大，未来可期但当下仍值得购买。
---
如果是玩过1代的话，2代上手是比较快的。
目前有些不影响体验的零散bug，不过抢先体验阶段，也还算可以理解。
升级系统做的挺有意思，既拓宽了游戏世界观，又让人有持续游玩的动力。
联机模式感觉也还可以（目前还尝试）
战士和原版差别不大，猎人削弱了无限流（也可能是key牌没解锁），极大加强小刀流。
机器人也是大加强，我们鸡煲终于站起来了。
新角色一个双机制的储君，玩的心累，又得考虑费又得考虑魔，感觉是一个类机器人的角色，希望官方对于两个费用的联系再增强一些；另一个死灵法师没啥可说的，类观者角色，目前觉得也是仅次于机器人的角色。
总的来说对照1代，爱上状态牌的怪变多了，对于无限流针对性比较强，角色们整体伤害提高了。
最后说一个很关键性的问题，这一代不给加费遗物了，抽到的概率不是很高，对于缺费的人简直是噩梦，希望官方在加费遗物抽取上，概率再调高一些。
",推荐,17.7,0,0
目前精英怪难度偏高，联机体验特别好,推荐,27.2,0,0
说它是大型DLC的人，估计还没体验到新角色的深度和新事件的彩蛋。不管是数值调整还是新增的“附魔”机制，都让构筑变得更丝滑、更多样。 如果你喜欢一代，这一部不用犹豫。毕竟，真正想爬塔的人，早就已经进塔里了，哪有时间在网上吵架？,推荐,29.6,0,0
塔2比起第一代，美术动画进步了很多，未知事件也变得更丰富，而且有些事件有多局累积性，比如那个什么旺达百货(具体名字写评论的时候忘了)，如果在那里消费满2000积分应该会获得一个特别的东西，让我忍不住期待(虽然我才64)。数值方面，由于一代的经验，感觉没什么问题(虽然我很菜)。现在开放了多人模式，而且也可以用来解锁时间线，笨人就可以找好朋友一起爬塔了。有一些多人模式特有的卡牌，也增加了许多趣味性。总得来说，2代完全超出了我的预期，太好玩了！！！！！,推荐,30.3,0,0
略微不够丝滑，还有卡牌未被鼠标选中时屏幕显示太少了，其他都挺好的，肝就完事了,推荐,11.3,0,0
玩法相较于一代没有大的创新，依旧是爬塔，新角色强度还可以观者删了，多了个联机模式但没好友玩也匹配不了路人，有些卡牌还没汉化，卡片细腻程度不及一代，还需要打磨，总体还行吧最起码有新角色新BOSS新卡牌玩。,推荐,4.5,0,0
暂时还没有玩儿明白，但如果能和一代一样保持一周一更，持续两年的话，依然可期,推荐,19.4,0,0
这就是储君，双能量槽，高防御，不卡手，甚至一层就能无限。开启循环后高蓝点能一直叠盾，有一费无敌的七星。然后锻打大剑流可以打上千伤害，还有简单粗暴的新月长矛。最后高蓝点后一个星尘对面boss就啊啊啊啊啊啊啊啊啊啊啊啊,推荐,6.3,0,0
"有养成癖爱好的就别玩这个系列了. 
全卡牌开出来就是纯肉鸽了. 
没有养成梯度的.

比幸存者类更缺少积累乐趣.

非要说分类就是纯牌佬乐趣, 嗯, 跟玩扑克是一样的.",推荐,9.6,0,0
"骨杖祭器人是紫色的杀戮尖塔角色，
观者也是紫色的杀戮尖塔角色，
骨杖祭器人和观者没有在一个场合同时出现过，
既然塔1的战士、猎宝、鸡煲都来了塔2，
我说骨杖祭器人就是棺者，有没有认可的？
",推荐,29.5,0,0
希望能有更多的出框异画卡，太帅了哥,推荐,39.4,0,0
"好玩好玩这个游戏也是牛逼克拉斯啊这个多人模式简直就是屎壳郎的天堂太难打了啊
",推荐,28.6,0,0
实在是令人惊喜的独立游戏惊世之作，更别说EA测试就端上来了多人联机模式，很期待之后的更新！另外希望有DLC角色！希望玩到更多的角色和套牌、构筑！,推荐,21.4,0,0
目前联机数值设计，有部分怪极不合理。,不推荐,21.3,0,1
有一个紫色衣服，血量是4人中最少的强力角色，你知道他是谁,推荐,7.8,0,0
"鸡煲太超模了，建议削弱
鸡煲太超模了，建
",推荐,35.9,0,0
推陈出新，不落窠臼，知道探索和构筑的乐趣，可以预见是一款杰作。,推荐,25.3,0,0
爬塔真好玩吧，所以说这作联机四人角色有五人是怕有人不想玩鸡煲吗,推荐,20.3,0,1
"还是那个味道，而且相比一代已经有更多好玩的遭遇剧情了，希望能有更多成就。例如骨法灾厄带走多少人，手掌血量。
储君大剑铸造攻击力等。
**另外解锁了一个储君无限循环不死流派，核心是有保留效果的粒子墙（最好是皇室认证，保留+固有)。配合明耀打击+创世纪。等于无限蓝星无限护盾。爽的雅皮！",推荐,16.7,0,0
控制不住玩了20小时，只能说还是一样愉快的体验，期待后面的更新,推荐,34.5,0,0
伟大！无需多言！Rouge卡牌永远无法逾越的高山,推荐,12.9,0,0
杀戮尖塔1是卡牌肉鸽难以逾越的高山，能打败它的只有杀戮尖塔2。,推荐,40.9,0,0
"从前，偏差认知的鸡煲在一层被小红按着打
现在，铸造大剑的君宝在二层被小强磨成渣
但是，它还是我们认识的老朋友，杀戮尖塔",推荐,33.6,0,0
自带联机模式简直就是神来之笔，不管是对于单人还是对于多人来说都有良好的游戏体验，多人难度偏高也能感受到每个人的作用，希望还能多点新角色。总体来说是对1代的全方位升级，非常好玩,推荐,31.7,0,0
不是，大罗九天神武至臻尖塔主宰最强至尊大帝元素球神王帝君机神也有人黑啊。。。nb,推荐,35.0,0,0
打了4.5把猎宝才胡了一把我真没辙了 前期没超模卡第二层是死活都过不去的 体系来了第二层打完可以直接打第三层boss 过渡实在是太折磨了 还有补充一点 2代怪塞卡的强度不如把华丽猎删了得了 小卡组循环是根本不可能的 华丽收场是直接g,推荐,18.6,0,0
可玩性大大提升，游戏卡组更新，新推出联机模式，有一定难度也很有意思,推荐,38.1,0,0
新角色、新事件、新卡都很有意思！作为很经典的游戏，我倒是不认为尖塔2需要和前作多么不一样，有新意有平衡就很好。,推荐,17.8,0,0
没招了，确实好玩，就是加些队友直接的互动就好了，什么换换东西给给钱，然后看看队友的视角压力下队友，多来点表情包啥的,推荐,65.7,0,0
"非常好的卡牌肉鸽，使我故障机器人旋转
非常好的卡牌肉鸽，使我故障机器人旋",推荐,12.2,0,0
"无脑入就完了噶人们，我依旧是世一卡牌肉鸽，内容量超级大，感觉比一代还要有意思很多（虽然现在数值还没搞好平衡，但是有塔1的经验慢慢等吧）
我说加强猎宝过渡，上限高的吓人超模卡一堆，但是过渡完全就是区，拿着一代数值的卡打二代的数值怪太坐牢了",推荐,54.0,0,0
好玩！剧情也很有意思，动画更加生动了，全成就什么时候有，迫不及待要打完了,推荐,16.3,0,0
跟朋友打了一把每日挑战四排 打完之后卡历史节点 一直显示有五个但是不加载也没有后续 大退 重新安装验证完整性都没用 什么时候修复好了档回来了什么时候改好评,不推荐,27.2,0,0
让人上瘾，有点像bin，希望设计联机模式怪物血量的人和联机一层boss墨宝的人自己能不能玩一玩，看看有多抽象啊,推荐,18.8,0,0
"说个正经的，这游戏多人的存档是在主机的本地，这样不光可以SL大法重打光卡，还可以做到断线重连！！！
断线重连 真的牛皮，所有人还能等，这不是技术问题，这是态度问题，好评！",推荐,21.1,0,0
"依然是卡牌肉鸽永远无法逾越的山峰。

现在很难有任何一款游戏在推出续作后，依然能保持如此高的水准并斩获好评如潮的反馈了。

4人联机真是锦上添花，推荐任何一名爬塔高手都应该拉上亲友们一起征服高塔！
[spoiler] 虽然我玩的很菜 常常当拖油瓶 [/spoiler]

以及鸡煲依旧最强
最强
最",推荐,19.7,0,0
我曾对卡牌游戏有偏见，直到我遇到了杀戮尖塔,推荐,29.0,0,0
角色之间强度差距太大过头死灵法师得胡到没边才算个正常角色真的难受挺喜欢死灵的但是可能是我玩法问题吧，召唤 虚无 灾厄 灵魂换着玩了好几遍一把都没打通太难受了,推荐,66.7,0,0
还不错，不过抢先体验版还没加入初代就有的触屏模式有点不习惯。希望抢先体验版阶段期间能加入。,推荐,19.0,0,0
说实在话，不参考一下隔壁怪物火车的效果数值辅助计算机制和内置每回合悔棋功能吗？作为一个尖塔萌新，感觉游戏很好玩，但是手算数值和返回主菜单重开战斗进行悔棋还是太折磨了,推荐,11.8,0,0
"好玩爱玩 Godot引擎牛啊~ 感觉比1代顺手多了 难度是不是特意调低了 一路疯狂 无敌旋风斩 无敌风火轮~
---26.3.8",推荐,3.9,0,0
"Oh 鸡鸡堡 圆球也想当英雄
Oh 鸡鸡堡 排序有时会失控
Oh 鸡鸡堡 一切交给辉种
让尖塔更美好 取餐就一定成功

",推荐,28.8,0,0
个人感觉和一相比难度没有差别但是可玩性更高，鸡煲的地位从第四喜欢变成第五喜欢了。,推荐,14.8,0,0
"玩起来很欢乐
但储君和骷髅王像是没活的mod作者一样
战猎是真起飞了
总之是好玩的",推荐,57.7,0,0
还是那个感觉，还是那个味道，还是那个半天见不着第三关！我就喜欢鸡堡！,推荐,15.7,0,0
"玩起来就停不下来的好玩。完美继承1代的同时官方服务器稳定联机太加分了。
好游戏确实是和朋友一起玩才够劲吔。

战士神了，猎手神了，储君王朝了，死灵法师王朝了，鸡煲是大家的宝贝，不吵不闹的很乖。
我紫皮妹妹能不能快点实装啊，等不及用猛虎下山复仇蜂窝人了。",推荐,24.0,0,0
"鸡煲最强
鸡煲最
鸡煲",推荐,23.0,0,0
骷髅哥是自带农垒的战士有没有懂的,推荐,36.8,0,0
"保持了前作的水平，依旧是卡牌肉鸽类中最夯的，要托槽的就是地图和卡牌的UI都太大了，有点不适应
",推荐,10.7,0,0
"提前预定：
假如我直接赢
XX给我藏好了
XX游牧了
XX眉目了
初见端倪
恍然大悟
这下看懂了
问心无愧
0.5nosl
连吃带拿
开辉眼了
我跟大头比启动
有一个角色XXXXXX,你知道他是谁
我说XX好牌多拿
不加费添水
保护果汁
功德+2
放生精灵
金冠严选
盲人揉面
打防之光
鏖战大鳄虫
我说百善孝为先
第四喜欢的角色
还有回响形态
还有回响形
要不战个未来吧
观者打过来了？
我说XXXXXX有没有懂得
xx听见说xxx就来了/跑了
xxx伤害特别高
精妙的数值设计
细节xxx骗弹幕
记笔记，xx在x层不拿xx
假装思考
神秘红色格挡条
动画卡我启动了
xx完了我x什么
噶人嘛鳞片伤害特别高
丧钟为谁而鸣
没xx算你输了
在蓄力啦！要来喽！
你将力量注入了你的xx…
嘶不疼
别带/带吧，多带
选择一个你喜欢的xx
气笑了
↑↑ ↑↑ ↑↑ ↓↓ ↑↑ ↑↑ ↑↑ ↓↓
我说右上角直接下一把",推荐,0.4,0,0
"还是一样的老味道，新的npc遗物爽完了，新角色也很有强度和可玩性，
不过感觉水温有点高，被高难度的一层精英入穿入烂，吓哭了",推荐,83.4,0,0
好玩得一！ 玩杀戮1的感觉都回来了，新角色都挺有意思的，推荐,推荐,24.6,0,0
"鄙人不才，玩第一部的时候根本没有通关过，第二部用猎宝四小时第一次通关。
所以如果你是爬塔苦手你也可以来试一试这一作，说不定就和我一样了呢",推荐,14.1,0,0
好哇好哇，嘿嘿嘿第二部特效也充足了许多，数值也很慷慨，但是怪的机制真的恶心人啊啊啊啊啊，什么事出点剧情模式，丰富一下剧情内容啊，一直对尖塔的剧情比较模糊，还是看up主解说的，还得是我们鸡煲压轴啊，最后一个解锁，不过怎么变胖了，过年吃多了吗？嘿嘿嘿，爬到3点的我已经神志不清了，居然梦见观者mod了,推荐,13.4,0,0
新角色很好玩 跟第一次玩塔的老婆联机一口气打通进阶0 ！！,推荐,29.1,0,0
"好玩，但是有区，害怕
怪和玩家的攻击力比之一代膨胀了（怪的血也膨胀了）但是玩家的起防能力没有膨胀",推荐,2.7,0,0
"猎宝偶遇惊天四条蛆，抓不到毒含恨而终
联机太爽了",推荐,43.0,0,0
更新的的内容非常多，很棒,推荐,28.2,0,0
换层事件不能跳过真是死全家了，恶魔三种选项全是塞卡，直接毁掉运转卡组？恶心谁呢。蠢死了。,不推荐,21.5,0,0
联机BUG太多了 玩了一天遇到两次恶性bug 一次宝箱开了没遗物，4个人看着空宝箱啥都选不了，卡死了 只能放弃。还有精英怪打完拿完奖励选不了路，只能放弃。 mmp两把防战天胡全因为bug放弃了,不推荐,28.3,0,0
哦鸡鸡煲，高塔里做英雄,推荐,21.8,0,0
还是塔1那个味，相比于怪和角色数值都有提高，也加入很多新机制，总体来说平衡做的还是很好的,推荐,3.9,0,0
依旧是熟悉的配方，依旧是神作,推荐,36.2,0,0
一代老玩家，7个小时才第一次用战士打通第三层，好歹是爽局，满足了 ：）,推荐,14.4,0,0
多人模式意外地好玩！非常推荐有空的时候和朋友一起游玩,推荐,9.8,0,0
鸡煲的改动很好的弥补了塔2没有观者的遗憾,推荐,55.4,0,0
"非常杀时间，不过上手难度比1要大得多，可能是我菜吧，目前6个小时了还没能用战士打通。另外，逐步解锁卡牌这一点有点点恶心人，前期不得不用低级牌打，比较折磨人。感觉有一点点故意拖延游戏进度。    另外，战士 打 帝皇蟹  我感觉根本过不去啊。

目前27个小时，除了一开始的战士，后面的 猎手，皇帝，法师，基本都能1到2把过。   一些看起来平平无奇的杂牌，往往会给很大的惊喜。还有一些高费牌的说明 感觉不太对。",推荐,35.0,0,0
"单机神中神。
但是我还是要骂，因为多人平衡做的不好（或者说机制做的不好？）
怪物血量过高，加上每回合动辄几十的伤害。大多数回合无论玩哪个角色都在叠加，导致玩家伤害普遍提升较慢。目前打了4-5局多人0进阶，体感平均一局就要2h而且难度相较于单人高了好几个等级。希望能做出一定的平衡修改。",不推荐,25.5,0,0
鸡煲是最后解锁的，我问开发商为什么这么设计，开发商说怕我提前解锁鸡煲，打不过boss申请退款,推荐,6.0,0,0
这是我第一款特别耐心游玩的游戏，能够深刻的感受到游戏的乐趣。游戏是偏向策略的，不同的卡组打法也不同，游戏内还有隐藏卡组，需要不停闯关才能解锁。很推荐这款游戏，去享受快乐的时光吧,推荐,11.8,0,0
非常不错，玩法多样性和画风都比一代更好，制作组看得出来很用心，鸡煲最满意的一集,推荐,20.7,0,0
很好的游戏，希望多出点新的角色，唯一不足的是打击感比一代弱了些,推荐,56.6,0,0
"选择鸡煲选择成功
选择鸡煲选择成",推荐,21.1,0,0
玩法更为丰富了很多，相比一代事件丰富了很多，好玩值得入手,推荐,29.3,0,0
联机太快乐了，比1代好玩太多了！  强烈建议入手一个。  根本等不到打折了 赶紧玩起来吧。  不管是画质，游戏性各方面 居然现在还只是EA。 喜欢玩1代的无脑入就行。 有一代的别买88的版本  买79的版本。 我朋友就买错了 哈哈哈。,推荐,34.0,0,0
豪玩，上头，多加点新卡牌，现在有点不够玩，加强储君！加强储君！加强储君！,推荐,29.3,0,0
相比前作更为简单（也许是卡牌类型增加的缘故？）更适合新手入坑（指一代游玩200小时以上）多人模式或许是锦上添花?反正我没朋友陪我玩:(，前作的bug总算得到了修复，就是存档机制我依旧不喜欢,推荐,10.9,0,0
难得写个评价，这个比第一代好玩多了，给了我很大的惊喜，刚解锁进阶三猎人，我本来以为猎人跟上一代一样只能玩小刀贼或者毒贼，没想到还有其他的玩法？？好评，就是赶紧出最终BOSS呀,推荐,35.1,0,0
"手感！！！能不能把2的画风和手感和1统一一下，总感觉卡牌有点粘手，而且俩游戏貌似鼠标灵敏度不一样？
然后就是虽然新版战士烧的很爽，但是能不能还我观者：(",推荐,4.1,0,0
"很好玩，联机肥肠开心，肥肠的好玩。
但是能整治一下猎宝吗，后边能量无限，刷牌刮痧等队友刮鼠，敷了个面膜，剪了个指甲，刷了个牙，猎宝还在战斗还没刮完。
中途还去打了一个海克斯回来看了一眼，可以限制一下时间和卡牌次数吗。",推荐,23.4,0,0
"战士，猎豹，比一代强太多
储君，亡灵法师，玩的人能忍住不笑可以确诊抑郁症
鸡煲，惊天大区",推荐,26.8,0,0
"对比一代是全方位的进步
赶快来体验卡牌史上的又一个高峰吧
对比一代是全方位的
赶快来体验卡牌史上的又一个高
",推荐,58.9,0,0
"鸡煲是最强的角色
鸡煲是最强的角",推荐,2.0,0,0
无可挑剔的卡牌游戏，唯一的缺点就是卡组得自己研究，游戏内要是有流派指引就太好了,推荐,15.9,0,0
玩塔2能忍住不笑的多半是神人了，还有关于紫色职业被分成五份的这件事，但是鸡煲你已集枯,推荐,29.7,0,0
整体来说比一代好玩的多，删了观者但是加了两个强度不错的角色，缺点是有些怪太粪了，比如第二层打死召唤小弟的蛆，还有那个知识恶魔也是阴的没边，还有联机模式数值膨胀太严重了，怪全都是群攻而且伤害高的一批，希望好好改改，联机还有时候会黑屏。,推荐,42.7,0,0
"目前数值问题还是有点严重的
不管是我方还是敌方都有点数值膨胀，然后这就导致一个问题，塔1里是可以像蛆一样活着打完的。塔2不行，数值差点的牌拿了该打不过还是打不过。
然后机制怪太多了，敌方数值高我可以赌超模牌。敌方机制离谱只能无力看着对面。
接着是目前因为没有第四关还可以无脑攻哈，等建筑师出来了包有限伤等手段，那时候整体游戏的数值能撑起一定的防御吗？
最后是BOSS遗物上下限差距太大了，boss遗物经常都不想选，也没有太多正经加cost的boss遗物。3C和4C差距很大。",推荐,12.4,0,0
被干死-气昏关游戏-越想越气-再开一把-被干死,推荐,17.1,0,0
打到现在给我的感觉是观者把力量分给主角团的同时也给怪吸收了,推荐,36.6,0,0
"有一款游戏，五个角色但只能四人联机，你知道为什么
有一款游戏，五个角色但只能四人联机，你知道为什
有一款游戏，五个角色但只能四人联机，你知道为
有一款游戏，五个角色但只能四人联机，你知道
有一款游戏，五个角色但只能四人联机，你知
有一款游戏，五个角色但只能四人联机，你",推荐,16.9,0,0
非常不错的续作，就目前而言它达到了我心里的预期，但细节还需打磨，非常推荐入手,推荐,17.4,0,0
习惯了一代的美术这个看上去怪怪的，但总体也算提升了不少。增加了事件与卡牌，战士天人都来了。鸡煲动画里压轴出场，并且还站c位，甚至没有死亡动画，所以这一代鸡煲是最强的。为什么没有观者？因为怕鸡煲集中冰压住怒火不能红蓝无限了,推荐,5.5,0,0
好游戏，联机模式找回了小时候联机打游戏的感觉，好评,推荐,23.4,0,0
"哦鸡鸡煲，高塔里做英雄~
哦鸡鸡煲，集中正在启动~
哦鸡鸡煲，能力掌握手中~
让肉鸽更美好~ 重开就一定成功~！

嘿 嘿 嘿~
不要小看集中冰~
说到起防说到推球~
他是一级棒~！

喂 喂 喂~
别在他面前逞强~
所有高塔boss一旦见到他~
闪一旁~！

而他很简单~
他最爱拿集中冰大扩容~
朋友不管遇到什么困难~
有他机器人就不用烦~！",推荐,21.9,0,0
"联机非常欢乐，非常需要一个交换卡牌的事件。

可以参考伊索寓言中金斧银斧的故事。

玩家将一张卡牌放入水中后，在包含原有卡牌的数张牌中取回。在联机模式中，就可以在所有队友的牌中取回一张，让关键牌回到最适合它的人手上。

---------------------------------
Playing online is incredibly enjoyable, and there is a strong demand for an event where we can exchange cards.

Refer to the story of the gold and silver axes in Aesop's Fables.

After a player put a card into the water, you can retrieve it from several cards that include the original card. In online mode, players can retrieve one card from all their teammates' cards, ensuring that the key card return to the most suitable player.
",推荐,2.6,0,0
内容量比塔1大上不少，虽然数值设计目前还有瑕疵但是瑕不掩瑜，期待正式版,推荐,14.4,0,0
"鸡煲牛福
鸡煲牛
鸡煲
鸡",推荐,12.3,0,0
